"VMName","Tag","Scope","VMID"
"sfo-adm-op01","operations","env","50168458-535b-98c2-9ba6-31bc1da53911"
"sfo-adm-op02","operations","env","5016e49a-9ebd-6218-a23c-fb9828c211e4"
"sfo-prod-dc01","domain","app","50164c74-eb82-86f5-cbc6-0e9fb147ab3f"
"sfo-prod-dc02","domain","app","5016d997-cfd4-c78c-b4b2-e04711a3f9f7"
"sfo-prod-dc01","production","env","50164c74-eb82-86f5-cbc6-0e9fb147ab3f"
"sfo-prod-dc02","production","env","5016d997-cfd4-c78c-b4b2-e04711a3f9f7"
"sfo-prod-db01","database","app","5016ce0e-6e89-3b40-7296-4034f4992e11"
"sfo-prod-db02","database","app","50165ba5-381c-849c-e869-7a508e860dc6"
"sfo-prod-db01","production","env","5016ce0e-6e89-3b40-7296-4034f4992e11"
"sfo-prod-db02","production","env","50165ba5-381c-849c-e869-7a508e860dc6"
"sfo-prod-dns01","production","env","5016a5e6-d1cc-9957-8178-31ce58f2d836"
"sfo-prod-dns02","production","env","5016ac7f-aa3f-c94b-23f6-2561b4979ebc"
"sfo-prod-fs01","production","env","5016f458-0858-5c76-643f-75d88f48b7f8"
"sfo-prod-fs02","production","env","50161cce-82fc-fec0-bffe-169bee6195b7"
"sfo-prod-app01","business","app","50168a91-ab0c-34c4-7283-d03b43abf6fe"
"sfo-prod-app02","business","app","50169254-1a1c-978e-a60c-62d1ee7af34e"
"sfo-prod-app01","production","env","50168a91-ab0c-34c4-7283-d03b43abf6fe"
"sfo-prod-app02","production","env","50169254-1a1c-978e-a60c-62d1ee7af34e"
